arrondissement_num,insee_code,arrondissement,decade,stations_cumulative
1,75101,1er — Louvre,1860,0
1,75101,1er — Louvre,1870,0
1,75101,1er — Louvre,1880,0
1,75101,1er — Louvre,1890,0
1,75101,1er — Louvre,1900,6
1,75101,1er — Louvre,1910,6
1,75101,1er — Louvre,1920,6
1,75101,1er — Louvre,1930,6
1,75101,1er — Louvre,1940,6
1,75101,1er — Louvre,1950,6
1,75101,1er — Louvre,1960,6
1,75101,1er — Louvre,1970,6
1,75101,1er — Louvre,1980,7
1,75101,1er — Louvre,1990,7
1,75101,1er — Louvre,2000,7
1,75101,1er — Louvre,2010,7
1,75101,1er — Louvre,2020,7
2,75102,2e — Bourse,1860,0
2,75102,2e — Bourse,1870,0
2,75102,2e — Bourse,1880,0
2,75102,2e — Bourse,1890,0
2,75102,2e — Bourse,1900,5
2,75102,2e — Bourse,1910,5
2,75102,2e — Bourse,1920,5
2,75102,2e — Bourse,1930,5
2,75102,2e — Bourse,1940,5
2,75102,2e — Bourse,1950,5
2,75102,2e — Bourse,1960,5
2,75102,2e — Bourse,1970,5
2,75102,2e — Bourse,1980,5
2,75102,2e — Bourse,1990,5
2,75102,2e — Bourse,2000,5
2,75102,2e — Bourse,2010,5
2,75102,2e — Bourse,2020,5
3,75103,3e — Temple,1860,0
3,75103,3e — Temple,1870,0
3,75103,3e — Temple,1880,0
3,75103,3e — Temple,1890,0
3,75103,3e — Temple,1900,5
3,75103,3e — Temple,1910,5
3,75103,3e — Temple,1920,5
3,75103,3e — Temple,1930,5
3,75103,3e — Temple,1940,5
3,75103,3e — Temple,1950,5
3,75103,3e — Temple,1960,5
3,75103,3e — Temple,1970,5
3,75103,3e — Temple,1980,5
3,75103,3e — Temple,1990,5
3,75103,3e — Temple,2000,5
3,75103,3e — Temple,2010,5
3,75103,3e — Temple,2020,5
4,75104,4e — Hôtel-de-Ville,1860,0
4,75104,4e — Hôtel-de-Ville,1870,0
4,75104,4e — Hôtel-de-Ville,1880,0
4,75104,4e — Hôtel-de-Ville,1890,0
4,75104,4e — Hôtel-de-Ville,1900,6
4,75104,4e — Hôtel-de-Ville,1910,6
4,75104,4e — Hôtel-de-Ville,1920,6
4,75104,4e — Hôtel-de-Ville,1930,6
4,75104,4e — Hôtel-de-Ville,1940,6
4,75104,4e — Hôtel-de-Ville,1950,6
4,75104,4e — Hôtel-de-Ville,1960,6
4,75104,4e — Hôtel-de-Ville,1970,6
4,75104,4e — Hôtel-de-Ville,1980,6
4,75104,4e — Hôtel-de-Ville,1990,6
4,75104,4e — Hôtel-de-Ville,2000,6
4,75104,4e — Hôtel-de-Ville,2010,6
4,75104,4e — Hôtel-de-Ville,2020,6
5,75105,5e — Panthéon,1860,0
5,75105,5e — Panthéon,1870,0
5,75105,5e — Panthéon,1880,0
5,75105,5e — Panthéon,1890,0
5,75105,5e — Panthéon,1900,6
5,75105,5e — Panthéon,1910,6
5,75105,5e — Panthéon,1920,6
5,75105,5e — Panthéon,1930,6
5,75105,5e — Panthéon,1940,6
5,75105,5e — Panthéon,1950,6
5,75105,5e — Panthéon,1960,6
5,75105,5e — Panthéon,1970,6
5,75105,5e — Panthéon,1980,6
5,75105,5e — Panthéon,1990,6
5,75105,5e — Panthéon,2000,6
5,75105,5e — Panthéon,2010,6
5,75105,5e — Panthéon,2020,6
6,75106,6e — Luxembourg,1860,0
6,75106,6e — Luxembourg,1870,0
6,75106,6e — Luxembourg,1880,0
6,75106,6e — Luxembourg,1890,0
6,75106,6e — Luxembourg,1900,12
6,75106,6e — Luxembourg,1910,12
6,75106,6e — Luxembourg,1920,12
6,75106,6e — Luxembourg,1930,12
6,75106,6e — Luxembourg,1940,12
6,75106,6e — Luxembourg,1950,12
6,75106,6e — Luxembourg,1960,12
6,75106,6e — Luxembourg,1970,12
6,75106,6e — Luxembourg,1980,12
6,75106,6e — Luxembourg,1990,12
6,75106,6e — Luxembourg,2000,12
6,75106,6e — Luxembourg,2010,12
6,75106,6e — Luxembourg,2020,12
7,75107,7e — Palais-Bourbon,1860,0
7,75107,7e — Palais-Bourbon,1870,0
7,75107,7e — Palais-Bourbon,1880,0
7,75107,7e — Palais-Bourbon,1890,0
7,75107,7e — Palais-Bourbon,1900,9
7,75107,7e — Palais-Bourbon,1910,9
7,75107,7e — Palais-Bourbon,1920,9
7,75107,7e — Palais-Bourbon,1930,9
7,75107,7e — Palais-Bourbon,1940,9
7,75107,7e — Palais-Bourbon,1950,9
7,75107,7e — Palais-Bourbon,1960,9
7,75107,7e — Palais-Bourbon,1970,9
7,75107,7e — Palais-Bourbon,1980,9
7,75107,7e — Palais-Bourbon,1990,9
7,75107,7e — Palais-Bourbon,2000,9
7,75107,7e — Palais-Bourbon,2010,9
7,75107,7e — Palais-Bourbon,2020,9
8,75108,8e — Élysée,1860,0
8,75108,8e — Élysée,1870,0
8,75108,8e — Élysée,1880,0
8,75108,8e — Élysée,1890,0
8,75108,8e — Élysée,1900,12
8,75108,8e — Élysée,1910,13
8,75108,8e — Élysée,1920,13
8,75108,8e — Élysée,1930,13
8,75108,8e — Élysée,1940,13
8,75108,8e — Élysée,1950,13
8,75108,8e — Élysée,1960,13
8,75108,8e — Élysée,1970,13
8,75108,8e — Élysée,1980,13
8,75108,8e — Élysée,1990,13
8,75108,8e — Élysée,2000,13
8,75108,8e — Élysée,2010,13
8,75108,8e — Élysée,2020,13
9,75109,9e — Opéra,1860,0
9,75109,9e — Opéra,1870,0
9,75109,9e — Opéra,1880,0
9,75109,9e — Opéra,1890,0
9,75109,9e — Opéra,1900,13
9,75109,9e — Opéra,1910,13
9,75109,9e — Opéra,1920,13
9,75109,9e — Opéra,1930,13
9,75109,9e — Opéra,1940,13
9,75109,9e — Opéra,1950,13
9,75109,9e — Opéra,1960,13
9,75109,9e — Opéra,1970,13
9,75109,9e — Opéra,1980,13
9,75109,9e — Opéra,1990,13
9,75109,9e — Opéra,2000,13
9,75109,9e — Opéra,2010,13
9,75109,9e — Opéra,2020,13
10,75110,10e — Entrepôt,1860,0
10,75110,10e — Entrepôt,1870,0
10,75110,10e — Entrepôt,1880,0
10,75110,10e — Entrepôt,1890,0
10,75110,10e — Entrepôt,1900,9
10,75110,10e — Entrepôt,1910,10
10,75110,10e — Entrepôt,1920,10
10,75110,10e — Entrepôt,1930,10
10,75110,10e — Entrepôt,1940,10
10,75110,10e — Entrepôt,1950,10
10,75110,10e — Entrepôt,1960,10
10,75110,10e — Entrepôt,1970,10
10,75110,10e — Entrepôt,1980,10
10,75110,10e — Entrepôt,1990,10
10,75110,10e — Entrepôt,2000,10
10,75110,10e — Entrepôt,2010,10
10,75110,10e — Entrepôt,2020,10
11,75111,11e — Popincourt,1860,0
11,75111,11e — Popincourt,1870,0
11,75111,11e — Popincourt,1880,0
11,75111,11e — Popincourt,1890,0
11,75111,11e — Popincourt,1900,19
11,75111,11e — Popincourt,1910,19
11,75111,11e — Popincourt,1920,19
11,75111,11e — Popincourt,1930,19
11,75111,11e — Popincourt,1940,19
11,75111,11e — Popincourt,1950,19
11,75111,11e — Popincourt,1960,19
11,75111,11e — Popincourt,1970,19
11,75111,11e — Popincourt,1980,19
11,75111,11e — Popincourt,1990,19
11,75111,11e — Popincourt,2000,19
11,75111,11e — Popincourt,2010,19
11,75111,11e — Popincourt,2020,19
12,75112,12e — Reuilly,1860,0
12,75112,12e — Reuilly,1870,0
12,75112,12e — Reuilly,1880,0
12,75112,12e — Reuilly,1890,0
12,75112,12e — Reuilly,1900,15
12,75112,12e — Reuilly,1910,15
12,75112,12e — Reuilly,1920,15
12,75112,12e — Reuilly,1930,15
12,75112,12e — Reuilly,1940,15
12,75112,12e — Reuilly,1950,15
12,75112,12e — Reuilly,1960,15
12,75112,12e — Reuilly,1970,15
12,75112,12e — Reuilly,1980,15
12,75112,12e — Reuilly,1990,15
12,75112,12e — Reuilly,2000,15
12,75112,12e — Reuilly,2010,15
12,75112,12e — Reuilly,2020,15
13,75113,13e — Gobelins,1860,0
13,75113,13e — Gobelins,1870,0
13,75113,13e — Gobelins,1880,0
13,75113,13e — Gobelins,1890,0
13,75113,13e — Gobelins,1900,17
13,75113,13e — Gobelins,1910,17
13,75113,13e — Gobelins,1920,17
13,75113,13e — Gobelins,1930,17
13,75113,13e — Gobelins,1940,17
13,75113,13e — Gobelins,1950,17
13,75113,13e — Gobelins,1960,17
13,75113,13e — Gobelins,1970,17
13,75113,13e — Gobelins,1980,17
13,75113,13e — Gobelins,1990,17
13,75113,13e — Gobelins,2000,17
13,75113,13e — Gobelins,2010,17
13,75113,13e — Gobelins,2020,17
14,75114,14e — Observatoire,1860,0
14,75114,14e — Observatoire,1870,0
14,75114,14e — Observatoire,1880,0
14,75114,14e — Observatoire,1890,0
14,75114,14e — Observatoire,1900,11
14,75114,14e — Observatoire,1910,11
14,75114,14e — Observatoire,1920,11
14,75114,14e — Observatoire,1930,11
14,75114,14e — Observatoire,1940,11
14,75114,14e — Observatoire,1950,11
14,75114,14e — Observatoire,1960,11
14,75114,14e — Observatoire,1970,11
14,75114,14e — Observatoire,1980,11
14,75114,14e — Observatoire,1990,11
14,75114,14e — Observatoire,2000,11
14,75114,14e — Observatoire,2010,11
14,75114,14e — Observatoire,2020,11
15,75115,15e — Vaugirard,1860,0
15,75115,15e — Vaugirard,1870,0
15,75115,15e — Vaugirard,1880,0
15,75115,15e — Vaugirard,1890,0
15,75115,15e — Vaugirard,1900,19
15,75115,15e — Vaugirard,1910,19
15,75115,15e — Vaugirard,1920,21
15,75115,15e — Vaugirard,1930,21
15,75115,15e — Vaugirard,1940,21
15,75115,15e — Vaugirard,1950,21
15,75115,15e — Vaugirard,1960,21
15,75115,15e — Vaugirard,1970,21
15,75115,15e — Vaugirard,1980,21
15,75115,15e — Vaugirard,1990,21
15,75115,15e — Vaugirard,2000,21
15,75115,15e — Vaugirard,2010,21
15,75115,15e — Vaugirard,2020,21
16,75116,16e — Passy,1860,0
16,75116,16e — Passy,1870,0
16,75116,16e — Passy,1880,0
16,75116,16e — Passy,1890,0
16,75116,16e — Passy,1900,20
16,75116,16e — Passy,1910,20
16,75116,16e — Passy,1920,20
16,75116,16e — Passy,1930,20
16,75116,16e — Passy,1940,21
16,75116,16e — Passy,1950,21
16,75116,16e — Passy,1960,21
16,75116,16e — Passy,1970,21
16,75116,16e — Passy,1980,21
16,75116,16e — Passy,1990,21
16,75116,16e — Passy,2000,21
16,75116,16e — Passy,2010,21
16,75116,16e — Passy,2020,21
17,75117,17e — Batignolles,1860,0
17,75117,17e — Batignolles,1870,0
17,75117,17e — Batignolles,1880,0
17,75117,17e — Batignolles,1890,0
17,75117,17e — Batignolles,1900,8
17,75117,17e — Batignolles,1910,8
17,75117,17e — Batignolles,1920,9
17,75117,17e — Batignolles,1930,9
17,75117,17e — Batignolles,1940,9
17,75117,17e — Batignolles,1950,9
17,75117,17e — Batignolles,1960,9
17,75117,17e — Batignolles,1970,9
17,75117,17e — Batignolles,1980,9
17,75117,17e — Batignolles,1990,9
17,75117,17e — Batignolles,2000,9
17,75117,17e — Batignolles,2010,9
17,75117,17e — Batignolles,2020,10
18,75118,18e — Buttes-Montmartre,1860,0
18,75118,18e — Buttes-Montmartre,1870,0
18,75118,18e — Buttes-Montmartre,1880,0
18,75118,18e — Buttes-Montmartre,1890,0
18,75118,18e — Buttes-Montmartre,1900,14
18,75118,18e — Buttes-Montmartre,1910,14
18,75118,18e — Buttes-Montmartre,1920,14
18,75118,18e — Buttes-Montmartre,1930,14
18,75118,18e — Buttes-Montmartre,1940,14
18,75118,18e — Buttes-Montmartre,1950,14
18,75118,18e — Buttes-Montmartre,1960,14
18,75118,18e — Buttes-Montmartre,1970,14
18,75118,18e — Buttes-Montmartre,1980,14
18,75118,18e — Buttes-Montmartre,1990,14
18,75118,18e — Buttes-Montmartre,2000,14
18,75118,18e — Buttes-Montmartre,2010,14
18,75118,18e — Buttes-Montmartre,2020,14
19,75119,19e — Buttes-Chaumont,1860,0
19,75119,19e — Buttes-Chaumont,1870,0
19,75119,19e — Buttes-Chaumont,1880,0
19,75119,19e — Buttes-Chaumont,1890,0
19,75119,19e — Buttes-Chaumont,1900,17
19,75119,19e — Buttes-Chaumont,1910,17
19,75119,19e — Buttes-Chaumont,1920,17
19,75119,19e — Buttes-Chaumont,1930,17
19,75119,19e — Buttes-Chaumont,1940,17
19,75119,19e — Buttes-Chaumont,1950,17
19,75119,19e — Buttes-Chaumont,1960,17
19,75119,19e — Buttes-Chaumont,1970,17
19,75119,19e — Buttes-Chaumont,1980,17
19,75119,19e — Buttes-Chaumont,1990,17
19,75119,19e — Buttes-Chaumont,2000,17
19,75119,19e — Buttes-Chaumont,2010,17
19,75119,19e — Buttes-Chaumont,2020,17
20,75120,20e — Ménilmontant,1860,0
20,75120,20e — Ménilmontant,1870,0
20,75120,20e — Ménilmontant,1880,0
20,75120,20e — Ménilmontant,1890,0
20,75120,20e — Ménilmontant,1900,12
20,75120,20e — Ménilmontant,1910,12
20,75120,20e — Ménilmontant,1920,12
20,75120,20e — Ménilmontant,1930,12
20,75120,20e — Ménilmontant,1940,12
20,75120,20e — Ménilmontant,1950,12
20,75120,20e — Ménilmontant,1960,12
20,75120,20e — Ménilmontant,1970,12
20,75120,20e — Ménilmontant,1980,12
20,75120,20e — Ménilmontant,1990,12
20,75120,20e — Ménilmontant,2000,12
20,75120,20e — Ménilmontant,2010,12
20,75120,20e — Ménilmontant,2020,12
